CustomerID,Gender,Age,Tenure_Months,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportTickets,SatisfactionScore,Churn
CUST100032,Female,74,69,54.42,3754.98,Month-to-Month,Fiber Optic,Electronic Check,0,5,Yes
CUST100033,Female,28,2,128.56,257.12,One Year,Fiber Optic,Mailed Check,0,9,No
CUST100034,Female,55,54,94.46,5100.84,One Year,DSL,Electronic Check,6,4,No
CUST100035,Male,25,27,40.22,1085.94,Month-to-Month,Fiber Optic,Bank Transfer,4,6,No
CUST100036,Female,59,31,46.82,1451.42,Month-to-Month,No Internet,Electronic Check,6,2,Yes
CUST100037,Male,41,41,80.87,3315.67,Month-to-Month,Fiber Optic,Credit Card,9,3,No
CUST100038,Male,52,36,121.35,4368.6,Month-to-Month,DSL,Bank Transfer,8,4,Yes
CUST100039,Male,72,47,142.11,6679.17,Month-to-Month,DSL,Credit Card,0,3,Yes
CUST100040,Male,31,43,106.25,4568.75,One Year,Fiber Optic,Bank Transfer,7,7,No
CUST100041,Male,72,65,85.8,5577.0,One Year,Fiber Optic,Mailed Check,9,9,Yes
CUST100042,Female,31,50,52.6,2630.0,Month-to-Month,No Internet,Bank Transfer,3,6,Yes
CUST100043,Female,27,1,107.47,107.47,One Year,DSL,Electronic Check,8,3,No
CUST100044,Female,29,57,147.69,8418.33,Month-to-Month,Fiber Optic,Credit Card,1,9,No
CUST100045,Female,55,16,81.91,1310.56,Two Year,Fiber Optic,Bank Transfer,8,1,No
CUST100046,Female,61,28,41.08,1150.24,Month-to-Month,No Internet,Mailed Check,7,5,No
CUST100047,Male,72,22,33.43,735.46,Two Year,Fiber Optic,Credit Card,5,10,Yes
CUST100048,Female,63,41,55.0,2255.0,Month-to-Month,Fiber Optic,Bank Transfer,4,10,No
CUST100049,Female,51,19,94.03,1786.57,Month-to-Month,No Internet,Mailed Check,2,5,No
CUST100050,Male,58,50,143.08,7154.0,One Year,Fiber Optic,Bank Transfer,0,2,No
CUST100051,Female,27,59,58.89,3474.51,Month-to-Month,Fiber Optic,Bank Transfer,5,5,No
CUST100052,Male,34,69,59.7,4119.3,One Year,DSL,Credit Card,9,1,Yes
CUST100053,Female,34,34,82.55,2806.7,Month-to-Month,DSL,Bank Transfer,4,1,No
CUST100054,Male,20,39,139.41,5436.99,Month-to-Month,Fiber Optic,Credit Card,7,4,No
CUST100055,Female,48,7,74.48,521.36,One Year,No Internet,Credit Card,0,6,No
CUST100056,Female,68,52,49.02,2549.04,Month-to-Month,No Internet,Electronic Check,9,2,No
CUST100057,Male,18,60,41.21,2472.6,Month-to-Month,Fiber Optic,Credit Card,0,5,No
CUST100058,Male,29,52,79.41,4129.32,Two Year,Fiber Optic,Bank Transfer,6,10,No
CUST100059,Male,56,24,124.09,2978.16,Two Year,No Internet,Bank Transfer,7,5,Yes
CUST100060,Male,21,26,57.88,1504.88,One Year,Fiber Optic,Bank Transfer,9,3,No
CUST100061,Male,59,10,86.63,866.3,Two Year,Fiber Optic,Bank Transfer,0,4,No
CUST100062,Male,30,17,98.39,1672.63,Two Year,DSL,Credit Card,8,2,No
CUST100063,Male,51,2,78.56,157.12,One Year,DSL,Electronic Check,6,7,No
CUST100064,Male,59,27,44.92,1212.84,Two Year,DSL,Credit Card,6,3,No
CUST100065,Female,38,71,139.83,9927.93,Month-to-Month,DSL,Bank Transfer,7,6,No
CUST100066,Female,39,48,93.51,4488.48,One Year,Fiber Optic,Credit Card,7,9,No
CUST100067,Male,74,9,114.79,1033.11,Month-to-Month,DSL,Electronic Check,0,7,No
CUST100068,Female,21,23,102.69,2361.87,One Year,Fiber Optic,Mailed Check,3,4,No
CUST100069,Female,35,71,149.75,10632.25,Two Year,Fiber Optic,Electronic Check,8,2,No
CUST100070,Female,22,27,79.32,2141.64,Month-to-Month,Fiber Optic,Electronic Check,2,7,No
CUST100071,Female,36,71,75.25,5342.75,One Year,DSL,Mailed Check,5,8,Yes
CUST100072,Male,19,43,66.82,2873.26,Two Year,Fiber Optic,Electronic Check,3,3,No
CUST100073,Female,29,7,67.01,469.07,Two Year,DSL,Electronic Check,0,7,No
CUST100074,Male,34,63,55.85,3518.55,Month-to-Month,DSL,Credit Card,2,1,No
CUST100075,Female,27,44,147.48,6489.12,Two Year,Fiber Optic,Electronic Check,2,8,No
CUST100076,Female,51,39,133.2,5194.8,Month-to-Month,Fiber Optic,Electronic Check,2,7,No
CUST100077,Female,23,40,61.17,2446.8,One Year,Fiber Optic,Bank Transfer,5,6,No
CUST100078,Male,25,7,59.68,417.76,Month-to-Month,No Internet,Electronic Check,8,3,Yes
CUST100079,Female,68,70,33.46,2342.2,Month-to-Month,DSL,Credit Card,6,4,No
CUST100080,Male,28,25,134.01,3350.25,Month-to-Month,Fiber Optic,Mailed Check,6,8,No
CUST100081,Female,74,59,68.33,4031.47,Month-to-Month,No Internet,Bank Transfer,0,1,No
CUST100082,Male,29,13,94.44,1227.72,One Year,Fiber Optic,Credit Card,8,2,No
CUST100083,Female,26,62,137.05,8497.1,Month-to-Month,DSL,Bank Transfer,3,1,No
CUST100084,Male,19,8,73.05,584.4,Two Year,DSL,Electronic Check,7,4,No
CUST100085,Male,25,45,124.89,5620.05,Two Year,Fiber Optic,Credit Card,0,6,Yes
CUST100086,Female,28,18,75.94,1366.92,One Year,Fiber Optic,Bank Transfer,7,5,No
CUST100087,Male,70,60,111.12,6667.2,Month-to-Month,DSL,Credit Card,8,6,No
CUST100088,Female,53,60,76.05,4563.0,One Year,Fiber Optic,Bank Transfer,4,2,No
CUST100089,Female,27,2,71.06,142.12,Month-to-Month,Fiber Optic,Electronic Check,6,5,No
CUST100090,Female,38,66,148.79,9820.14,Month-to-Month,DSL,Mailed Check,9,1,No
CUST100091,Female,37,14,99.61,1394.54,Two Year,Fiber Optic,Mailed Check,1,6,No
CUST100092,Female,65,48,67.76,3252.48,Month-to-Month,DSL,Credit Card,0,4,Yes
CUST100093,Female,25,56,53.52,2997.12,Two Year,Fiber Optic,Mailed Check,5,10,No
CUST100094,Female,53,12,25.17,302.04,Month-to-Month,Fiber Optic,Credit Card,8,9,No
CUST100095,Female,46,55,111.85,6151.75,Month-to-Month,DSL,Credit Card,0,3,No
CUST100096,Female,59,28,68.38,1914.64,Month-to-Month,No Internet,Electronic Check,9,3,No
CUST100097,Female,29,4,126.76,507.04,One Year,DSL,Electronic Check,0,9,No
CUST100098,Female,31,36,67.3,2422.8,Month-to-Month,Fiber Optic,Bank Transfer,3,4,Yes
CUST100099,Male,65,50,68.53,3426.5,Month-to-Month,No Internet,Credit Card,9,7,Yes
CUST100100,Male,71,3,121.29,363.87,One Year,Fiber Optic,Bank Transfer,5,10,No
CUST100101,Female,67,1,83.63,83.63,Two Year,Fiber Optic,Bank Transfer,8,2,No
CUST100102,Female,38,17,135.04,2295.68,One Year,No Internet,Electronic Check,1,1,No
CUST100103,Female,39,71,96.72,6867.12,Month-to-Month,Fiber Optic,Credit Card,4,10,No
CUST100104,Female,38,62,51.28,3179.36,Month-to-Month,DSL,Electronic Check,6,1,No
CUST100105,Female,61,48,93.88,4506.24,One Year,No Internet,Credit Card,3,6,No
CUST100106,Female,67,62,20.52,1272.24,One Year,Fiber Optic,Mailed Check,5,4,No
CUST100107,Female,47,69,60.61,4182.09,Two Year,DSL,Mailed Check,5,2,No
CUST100108,Female,56,19,47.03,893.57,Month-to-Month,Fiber Optic,Bank Transfer,3,7,No
CUST100109,Male,37,34,105.04,3571.36,Month-to-Month,No Internet,Electronic Check,3,8,No
CUST100110,Female,41,49,37.69,1846.81,Month-to-Month,DSL,Electronic Check,8,7,No
CUST100111,Male,40,47,57.71,2712.37,One Year,Fiber Optic,Credit Card,0,10,No
CUST100112,Female,24,50,63.07,3153.5,Month-to-Month,Fiber Optic,Bank Transfer,4,9,Yes
CUST100113,Female,26,26,20.43,531.18,Two Year,DSL,Electronic Check,8,1,No
CUST100114,Male,18,56,26.08,1460.48,Month-to-Month,DSL,Bank Transfer,8,10,No
CUST100115,Female,43,14,60.45,846.3,Month-to-Month,Fiber Optic,Electronic Check,8,6,No
CUST100116,Male,55,25,48.91,1222.75,Month-to-Month,Fiber Optic,Mailed Check,1,8,No
CUST100117,Female,55,4,35.2,140.8,Month-to-Month,DSL,Electronic Check,6,9,Yes
CUST100118,Female,71,32,40.04,1281.28,One Year,Fiber Optic,Electronic Check,9,8,Yes
CUST100119,Male,61,65,128.62,8360.3,One Year,DSL,Mailed Check,7,6,No
CUST100120,Female,39,61,108.83,6638.63,Month-to-Month,Fiber Optic,Bank Transfer,0,8,No
CUST100121,Male,61,20,82.94,1658.8,Month-to-Month,DSL,Bank Transfer,1,8,No
CUST100122,Female,27,10,138.15,1381.5,One Year,Fiber Optic,Bank Transfer,0,1,No
CUST100123,Male,72,34,23.84,810.56,Two Year,DSL,Mailed Check,8,8,No
CUST100124,Male,23,61,64.84,3955.24,Month-to-Month,No Internet,Mailed Check,9,7,Yes
CUST100125,Female,34,27,127.04,3430.08,One Year,DSL,Mailed Check,4,8,No
CUST100126,Female,68,40,101.68,4067.2,Month-to-Month,DSL,Bank Transfer,3,8,No
CUST100127,Male,67,65,147.62,9595.3,One Year,DSL,Bank Transfer,7,10,No
CUST100128,Female,55,33,142.79,4712.07,One Year,DSL,Bank Transfer,2,10,No
CUST100129,Female,41,68,42.09,2862.12,Month-to-Month,Fiber Optic,Bank Transfer,7,6,Yes
CUST100130,Female,68,71,146.36,10391.56,One Year,DSL,Credit Card,2,9,No
CUST100131,Male,27,9,142.92,1286.28,Month-to-Month,DSL,Mailed Check,5,3,Yes
CUST100132,Male,73,16,68.57,1097.12,Month-to-Month,Fiber Optic,Mailed Check,3,10,No
CUST100133,Male,25,5,147.77,738.85,Month-to-Month,Fiber Optic,Mailed Check,7,1,Yes
CUST100134,Male,38,23,24.66,567.18,Month-to-Month,Fiber Optic,Bank Transfer,6,9,Yes
CUST100135,Male,73,43,105.9,4553.7,One Year,Fiber Optic,Bank Transfer,4,10,No
CUST100136,Male,23,57,54.6,3112.2,Month-to-Month,No Internet,Credit Card,2,10,Yes
CUST100137,Male,38,51,36.83,1878.33,One Year,DSL,Credit Card,4,2,No
CUST100138,Male,74,13,95.08,1236.04,Month-to-Month,Fiber Optic,Bank Transfer,3,3,No
CUST100139,Male,56,24,59.83,1435.92,Month-to-Month,Fiber Optic,Bank Transfer,7,4,Yes
CUST100140,Female,41,11,106.69,1173.59,Month-to-Month,Fiber Optic,Bank Transfer,4,8,No
CUST100141,Male,50,52,90.2,4690.4,Month-to-Month,Fiber Optic,Mailed Check,9,9,No
CUST100142,Female,35,17,71.04,1207.68,Two Year,Fiber Optic,Credit Card,9,3,No
CUST100143,Female,73,37,43.64,1614.68,One Year,No Internet,Mailed Check,4,2,No
CUST100144,Female,45,13,98.16,1276.08,Month-to-Month,Fiber Optic,Electronic Check,1,2,No
CUST100145,Male,74,62,127.8,7923.6,Two Year,Fiber Optic,Electronic Check,8,9,Yes
CUST100146,Male,69,8,98.0,784.0,Month-to-Month,Fiber Optic,Electronic Check,5,8,No
CUST100147,Male,49,56,99.37,5564.72,Month-to-Month,DSL,Electronic Check,0,2,Yes
CUST100148,Male,29,70,86.54,6057.8,Month-to-Month,DSL,Mailed Check,2,8,No
CUST100149,Female,65,44,70.47,3100.68,Two Year,Fiber Optic,Electronic Check,3,4,No
CUST100150,Male,59,60,79.47,4768.2,One Year,Fiber Optic,Bank Transfer,9,6,Yes
CUST100151,Male,44,41,148.64,6094.24,One Year,No Internet,Electronic Check,9,5,No
CUST100152,Male,27,21,117.46,2466.66,One Year,Fiber Optic,Bank Transfer,1,5,Yes
CUST100153,Male,63,42,75.97,3190.74,One Year,DSL,Mailed Check,9,10,Yes
CUST100154,Male,74,29,79.45,2304.05,One Year,Fiber Optic,Credit Card,3,10,No
CUST100155,Female,69,65,84.95,5521.75,Month-to-Month,DSL,Credit Card,1,7,Yes
CUST100156,Male,59,17,105.71,1797.07,Month-to-Month,Fiber Optic,Electronic Check,5,8,Yes
CUST100157,Female,49,30,80.57,2417.1,Month-to-Month,No Internet,Credit Card,9,5,No
CUST100158,Male,59,26,109.2,2839.2,Two Year,DSL,Bank Transfer,8,4,Yes
CUST100159,Female,43,53,62.79,3327.87,One Year,Fiber Optic,Electronic Check,0,2,No
CUST100160,Male,42,19,73.38,1394.22,One Year,Fiber Optic,Electronic Check,4,5,No
CUST100161,Male,28,53,132.33,7013.49,Month-to-Month,Fiber Optic,Bank Transfer,8,8,Yes
CUST100162,Female,40,17,62.76,1066.92,Month-to-Month,No Internet,Bank Transfer,6,1,No
CUST100163,Female,51,46,145.38,6687.48,Two Year,Fiber Optic,Mailed Check,5,6,Yes
CUST100164,Female,74,53,42.43,2248.79,Month-to-Month,Fiber Optic,Bank Transfer,6,2,Yes
CUST100165,Male,69,64,51.42,3290.88,One Year,Fiber Optic,Mailed Check,8,2,No
CUST100166,Female,57,45,80.28,3612.6,Month-to-Month,DSL,Electronic Check,2,8,No
CUST100167,Male,40,49,123.66,6059.34,One Year,Fiber Optic,Credit Card,7,6,No
CUST100168,Male,46,19,115.1,2186.9,One Year,DSL,Credit Card,0,6,No
CUST100169,Female,48,71,42.68,3030.28,One Year,No Internet,Mailed Check,9,6,No
CUST100170,Female,24,65,50.77,3300.05,Month-to-Month,DSL,Credit Card,5,9,No
CUST100171,Male,57,37,94.78,3506.86,One Year,Fiber Optic,Credit Card,8,3,No
CUST100172,Male,50,70,58.37,4085.9,Month-to-Month,Fiber Optic,Electronic Check,0,2,No
CUST100173,Female,38,26,74.9,1947.4,Two Year,Fiber Optic,Mailed Check,4,5,No
CUST100174,Female,19,2,83.26,166.52,Month-to-Month,Fiber Optic,Bank Transfer,7,6,No
CUST100175,Female,35,59,97.25,5737.75,Month-to-Month,Fiber Optic,Credit Card,9,9,No
CUST100176,Male,64,5,52.64,263.2,One Year,DSL,Electronic Check,5,9,Yes
CUST100177,Male,50,37,41.21,1524.77,Month-to-Month,DSL,Electronic Check,5,2,No
CUST100178,Male,54,31,71.81,2226.11,Two Year,Fiber Optic,Credit Card,2,9,Yes
CUST100179,Male,51,48,30.66,1471.68,Month-to-Month,DSL,Bank Transfer,7,9,Yes
CUST100180,Male,37,6,88.48,530.88,Month-to-Month,Fiber Optic,Bank Transfer,0,6,No
CUST100181,Male,52,15,129.15,1937.25,Two Year,No Internet,Mailed Check,3,1,No
CUST100182,Female,68,15,35.47,532.05,Two Year,Fiber Optic,Mailed Check,7,8,No
CUST100183,Male,67,61,34.65,2113.65,Month-to-Month,Fiber Optic,Mailed Check,5,8,No
CUST100184,Male,71,16,30.43,486.88,Month-to-Month,Fiber Optic,Electronic Check,8,8,No
CUST100185,Male,35,20,130.22,2604.4,Month-to-Month,DSL,Bank Transfer,0,8,No
CUST100186,Female,63,44,30.49,1341.56,Month-to-Month,Fiber Optic,Mailed Check,1,10,No
CUST100187,Male,41,42,147.85,6209.7,Month-to-Month,Fiber Optic,Electronic Check,0,5,Yes
CUST100188,Male,25,46,66.58,3062.68,Month-to-Month,Fiber Optic,Bank Transfer,3,2,No
CUST100189,Female,47,34,62.74,2133.16,Two Year,Fiber Optic,Credit Card,8,9,No
CUST100190,Male,61,64,31.91,2042.24,Month-to-Month,No Internet,Mailed Check,3,6,No
CUST100191,Male,70,29,96.13,2787.77,One Year,Fiber Optic,Mailed Check,8,3,Yes
CUST100192,Male,27,3,96.16,288.48,One Year,DSL,Bank Transfer,5,1,No
CUST100193,Male,40,9,84.19,757.71,One Year,DSL,Credit Card,4,5,No
CUST100194,Male,69,25,60.43,1510.75,Month-to-Month,Fiber Optic,Credit Card,9,4,No
CUST100195,Female,66,42,67.92,2852.64,One Year,No Internet,Electronic Check,3,4,Yes
CUST100196,Female,28,46,61.67,2836.82,Two Year,Fiber Optic,Mailed Check,9,9,No
CUST100197,Female,19,59,75.4,4448.6,One Year,Fiber Optic,Credit Card,1,6,Yes
CUST100198,Male,43,21,64.43,1353.03,Month-to-Month,Fiber Optic,Electronic Check,7,8,No
CUST100199,Male,53,22,107.82,2372.04,Month-to-Month,DSL,Mailed Check,2,9,No
CUST100200,Male,50,29,58.45,1695.05,Two Year,No Internet,Mailed Check,0,1,No
CUST100201,Female,64,63,65.61,4133.43,One Year,DSL,Mailed Check,9,7,Yes
CUST100202,Male,30,61,76.61,4673.21,Two Year,No Internet,Mailed Check,6,7,Yes
CUST100203,Male,57,64,20.52,1313.28,Month-to-Month,No Internet,Credit Card,7,9,No
CUST100204,Female,42,69,83.97,5793.93,Month-to-Month,Fiber Optic,Credit Card,6,1,No
CUST100205,Male,21,40,53.26,2130.4,Month-to-Month,Fiber Optic,Credit Card,3,2,No
CUST100206,Female,59,1,27.3,27.3,Month-to-Month,Fiber Optic,Bank Transfer,7,6,No
CUST100207,Female,36,65,138.43,8997.95,Month-to-Month,DSL,Bank Transfer,9,4,No
CUST100208,Female,35,62,61.91,3838.42,Two Year,Fiber Optic,Mailed Check,3,5,Yes
CUST100209,Male,54,54,75.39,4071.06,One Year,DSL,Credit Card,4,5,No
CUST100210,Male,47,60,127.55,7653.0,Month-to-Month,No Internet,Electronic Check,7,10,No
CUST100211,Male,36,46,41.68,1917.28,One Year,DSL,Credit Card,1,1,No
CUST100212,Male,40,5,130.54,652.7,One Year,DSL,Electronic Check,9,1,No
CUST100213,Male,71,22,51.41,1131.02,One Year,DSL,Mailed Check,7,7,No
CUST100214,Male,33,53,96.57,5118.21,One Year,DSL,Mailed Check,4,3,No
CUST100215,Male,18,70,109.14,7639.8,One Year,DSL,Mailed Check,4,5,No
CUST100216,Female,29,32,137.65,4404.8,Month-to-Month,DSL,Credit Card,6,8,No
CUST100217,Male,41,11,98.99,1088.89,One Year,Fiber Optic,Credit Card,3,5,No
CUST100218,Female,51,10,78.92,789.2,One Year,Fiber Optic,Electronic Check,2,10,No
CUST100219,Male,70,39,94.4,3681.6,Month-to-Month,DSL,Electronic Check,5,9,No
CUST100220,Male,74,31,46.27,1434.37,Month-to-Month,Fiber Optic,Bank Transfer,5,4,No
CUST100221,Male,25,12,109.58,1314.96,Month-to-Month,DSL,Mailed Check,9,7,Yes
CUST100222,Female,35,38,44.29,1683.02,Month-to-Month,Fiber Optic,Electronic Check,5,8,No
CUST100223,Female,74,67,92.44,6193.48,Two Year,DSL,Credit Card,6,7,Yes
CUST100224,Female,65,66,104.19,6876.54,Month-to-Month,DSL,Electronic Check,3,4,No
CUST100225,Female,22,52,136.82,7114.64,Month-to-Month,No Internet,Bank Transfer,2,8,No
CUST100226,Male,43,5,78.52,392.6,Month-to-Month,Fiber Optic,Credit Card,2,10,Yes
CUST100227,Female,47,11,120.79,1328.69,Month-to-Month,Fiber Optic,Credit Card,2,10,Yes
CUST100228,Male,71,25,41.78,1044.5,One Year,DSL,Credit Card,1,10,Yes
CUST100229,Male,30,35,40.31,1410.85,One Year,DSL,Electronic Check,5,4,No
CUST100230,Female,36,35,88.22,3087.7,Month-to-Month,DSL,Mailed Check,0,10,Yes
CUST100231,Female,46,22,97.52,2145.44,Two Year,No Internet,Mailed Check,5,8,No
CUST100232,Female,20,37,102.2,3781.4,Month-to-Month,Fiber Optic,Mailed Check,7,8,No
CUST100233,Female,43,55,116.94,6431.7,One Year,Fiber Optic,Mailed Check,5,4,No
CUST100234,Female,57,64,58.34,3733.76,Two Year,Fiber Optic,Mailed Check,1,5,Yes
CUST100235,Female,29,20,100.94,2018.8,Month-to-Month,No Internet,Credit Card,6,5,Yes
CUST100236,Female,19,4,44.46,177.84,Two Year,Fiber Optic,Credit Card,2,5,Yes
CUST100237,Female,28,18,48.47,872.46,Two Year,Fiber Optic,Electronic Check,8,3,Yes
CUST100238,Male,61,51,28.75,1466.25,Two Year,Fiber Optic,Credit Card,7,2,No
CUST100239,Female,45,68,117.11,7963.48,Month-to-Month,DSL,Electronic Check,5,1,No
CUST100240,Female,35,20,85.91,1718.2,Month-to-Month,DSL,Electronic Check,0,3,No
CUST100241,Male,30,9,50.96,458.64,Two Year,Fiber Optic,Bank Transfer,1,9,No
CUST100242,Female,54,26,92.31,2400.06,Two Year,Fiber Optic,Credit Card,7,7,No
CUST100243,Male,39,25,66.05,1651.25,Two Year,Fiber Optic,Electronic Check,5,2,No
CUST100244,Male,29,68,128.84,8761.12,Two Year,DSL,Mailed Check,0,8,Yes
CUST100245,Female,19,41,88.66,3635.06,One Year,Fiber Optic,Mailed Check,8,8,No
CUST100246,Male,54,59,23.88,1408.92,Month-to-Month,Fiber Optic,Bank Transfer,7,7,Yes
CUST100247,Male,24,45,148.06,6662.7,Month-to-Month,DSL,Electronic Check,1,6,No
CUST100248,Male,43,41,29.66,1216.06,Month-to-Month,No Internet,Credit Card,9,2,No
CUST100249,Male,43,38,110.47,4197.86,Month-to-Month,Fiber Optic,Mailed Check,4,4,Yes
CUST100250,Female,41,19,76.84,1459.96,Month-to-Month,Fiber Optic,Mailed Check,2,1,No
CUST100251,Male,29,14,52.41,733.74,Month-to-Month,Fiber Optic,Bank Transfer,0,7,No
CUST100252,Female,33,21,107.94,2266.74,Month-to-Month,Fiber Optic,Mailed Check,6,2,Yes
CUST100253,Male,40,15,36.37,545.55,Two Year,DSL,Electronic Check,8,6,Yes
CUST100254,Male,57,3,131.57,394.71,Month-to-Month,Fiber Optic,Bank Transfer,6,9,No
CUST100255,Male,26,37,52.58,1945.46,Month-to-Month,DSL,Mailed Check,2,5,No
CUST100256,Male,49,46,66.99,3081.54,One Year,DSL,Credit Card,5,5,No
CUST100257,Female,32,16,102.24,1635.84,Two Year,Fiber Optic,Electronic Check,2,4,No
CUST100258,Female,54,14,20.13,281.82,Month-to-Month,DSL,Mailed Check,3,1,No
CUST100259,Male,30,9,81.46,733.14,Month-to-Month,Fiber Optic,Credit Card,0,4,No
CUST100260,Male,22,7,136.25,953.75,Month-to-Month,DSL,Electronic Check,1,9,No
CUST100261,Female,28,14,108.45,1518.3,Month-to-Month,No Internet,Mailed Check,0,9,No
CUST100262,Male,27,6,70.43,422.58,Month-to-Month,DSL,Bank Transfer,9,7,No
CUST100263,Male,69,15,105.86,1587.9,One Year,No Internet,Credit Card,1,4,No
CUST100264,Male,30,52,141.75,7371.0,Two Year,DSL,Mailed Check,3,9,No
CUST100265,Female,58,34,44.41,1509.94,One Year,Fiber Optic,Bank Transfer,5,5,Yes
CUST100266,Female,70,1,89.14,89.14,Month-to-Month,No Internet,Electronic Check,7,10,Yes
CUST100267,Female,63,69,50.52,3485.88,Month-to-Month,Fiber Optic,Electronic Check,9,2,No
CUST100268,Male,67,20,131.05,2621.0,Month-to-Month,No Internet,Credit Card,8,9,No
CUST100269,Male,32,7,113.74,796.18,Month-to-Month,No Internet,Credit Card,9,6,No
CUST100270,Female,59,7,124.14,868.98,One Year,DSL,Electronic Check,6,5,Yes
CUST100271,Female,73,50,142.59,7129.5,Two Year,Fiber Optic,Bank Transfer,3,10,Yes
CUST100272,Female,24,2,50.2,100.4,Month-to-Month,No Internet,Electronic Check,6,8,Yes
CUST100273,Female,57,47,26.33,1237.51,Two Year,DSL,Mailed Check,0,2,Yes
CUST100274,Male,45,14,57.82,809.48,Two Year,DSL,Mailed Check,9,5,No
CUST100275,Female,49,31,71.89,2228.59,Month-to-Month,DSL,Bank Transfer,5,10,No
CUST100276,Male,52,50,101.27,5063.5,Month-to-Month,Fiber Optic,Mailed Check,0,8,Yes
CUST100277,Female,32,61,123.7,7545.7,Month-to-Month,Fiber Optic,Mailed Check,7,4,Yes
CUST100278,Male,65,41,65.47,2684.27,One Year,DSL,Credit Card,3,10,No
CUST100279,Female,53,14,81.55,1141.7,Month-to-Month,Fiber Optic,Mailed Check,7,10,No
CUST100280,Female,38,5,122.11,610.55,Month-to-Month,DSL,Bank Transfer,7,9,Yes
CUST100281,Female,23,5,49.29,246.45,Two Year,Fiber Optic,Electronic Check,1,7,No
CUST100282,Female,18,64,48.23,3086.72,Month-to-Month,DSL,Bank Transfer,5,7,Yes
CUST100283,Male,21,29,96.6,2801.4,Month-to-Month,Fiber Optic,Credit Card,9,9,No
CUST100284,Female,28,5,76.69,383.45,One Year,Fiber Optic,Bank Transfer,3,3,Yes
CUST100285,Male,61,36,143.36,5160.96,Two Year,DSL,Electronic Check,2,3,Yes
CUST100286,Male,43,19,66.41,1261.79,Month-to-Month,DSL,Electronic Check,8,10,No
CUST100287,Male,54,64,118.74,7599.36,Month-to-Month,Fiber Optic,Bank Transfer,9,7,No
CUST100288,Male,40,22,95.8,2107.6,One Year,DSL,Electronic Check,8,2,Yes
